,Date,User,Comment,subject,post_date,post_link,report_link
0,23/05/2023 5:23 PM,guilherme_sem_j,"No caso o certo é o passageiro perguntar se tem troco, se não tiver vai na frente e desce no seu destino!!!","
",20/05/2023 10:27:04 pm,https://www.instagram.com/p/CsfJl0RtQIh/,https://api.iconosquare.com/file-downloader/exports/ZXhwb3J0cy9jb=21tZW50cy8yNzIwMzEzLzE2MDA4NjQvY29tbWVudHNfZXhwb3J0c19ldXNvdWFtb21fMjAyMzA1=MjQxODA2MzJfNjQ2ZTUyMjg2NTRiZS54bHN4
1,23/05/2023 5:04 PM,vanice_campos39,"Já pagávamos 4,00 reais apenas aumentou 0,50 logo acustumamos","
",20/05/2023 10:27:04 pm,https://www.instagram.com/p/CsfJl0RtQIh/,https://api.iconosquare.com/file-downloader/exports/ZXhwb3J0cy9jb=21tZW50cy8yNzIwMzEzLzE2MDA4NjQvY29tbWVudHNfZXhwb3J0c19ldXNvdWFtb21fMjAyMzA1=MjQxODA2MzJfNjQ2ZTUyMjg2NTRiZS54bHN4
2,23/05/2023 4:29 PM,salles_juliana,"Receio estamos do ABUSO DE AUTORIDADE DESCARADO DO STE E TSE. Qual é a sua posição sobre isso? Você apoia??? Deputado, assine a #cpidoabusodeautoridade. Não podemos deixar impunes aqueles que estão afrontando e rasgando a nossa Constituição. Precisamos lutar contra o ABUSO DE PODER, as inconstitucionalidades descaradas e a utilização da Lei como uma arma contra sociedade ! Estamos vivendo absurdos !!! O POVO BRASILEIRO NÃO AGUENTA MAIS!! Precisamos de você!! Ajude a nação e seja lembrado por isso. O STF é TSE estão invadindo as competências do legislativo e enfraquecendo o congresso nacional, não deixem isso acontecer ! Nós votamos em vocês e não nesses ministros abusivos!
NÃO VAMOS SOSSEGAR ATÉ QUE A NOSSA CONSTITUIÇÃO SEJA RESPEITADA!!!","
",20/05/2023 10:27:04 pm,https://www.instagram.com/p/CsfJl0RtQIh/,https://api.iconosquare.com/file-downloader/exports/ZXhwb3J0cy9jb=21tZW50cy8yNzIwMzEzLzE2MDA4NjQvY29tbWVudHNfZXhwb3J0c19ldXNvdWFtb21fMjAyMzA1=MjQxODA2MzJfNjQ2ZTUyMjg2NTRiZS54bHN4
3,23/05/2023 2:40 PM,eu_azevedolucas,Fora a gentileza dos funcionários (cobradores e motoristas),"
",20/05/2023 10:27:04 pm,https://www.instagram.com/p/CsfJl0RtQIh/,https://api.iconosquare.com/file-downloader/exports/ZXhwb3J0cy9jb=21tZW50cy8yNzIwMzEzLzE2MDA4NjQvY29tbWVudHNfZXhwb3J0c19ldXNvdWFtb21fMjAyMzA1=MjQxODA2MzJfNjQ2ZTUyMjg2NTRiZS54bHN4
4,23/05/2023 1:47 PM,rafofito,Tás sendo devorado por Bolsominions né amigo ? Só pra vc ver o nível da loucura dessa seita,"
",20/05/2023 10:27:04 pm,https://www.instagram.com/p/CsfJl0RtQIh/,https://api.iconosquare.com/file-downloader/exports/ZXhwb3J0cy9jb=21tZW50cy8yNzIwMzEzLzE2MDA4NjQvY29tbWVudHNfZXhwb3J0c19ldXNvdWFtb21fMjAyMzA1=MjQxODA2MzJfNjQ2ZTUyMjg2NTRiZS54bHN4
5,23/05/2023 1:33 PM,_gabieamorim,"Assine a CPI do abuso de autoridade do STF e do TSE, deputado!!!","
",20/05/2023 10:27:04 pm,https://www.instagram.com/p/CsfJl0RtQIh/,https://api.iconosquare.com/file-downloader/exports/ZXhwb3J0cy9jb=21tZW50cy8yNzIwMzEzLzE2MDA4NjQvY29tbWVudHNfZXhwb3J0c19ldXNvdWFtb21fMjAyMzA1=MjQxODA2MzJfNjQ2ZTUyMjg2NTRiZS54bHN4
6,23/05/2023 12:30 PM,conesulmanaus,https://g1.globo.com/am/amazonas/playlist/jam-2-edicao-de-segunda-feira-22-de-maio-de-2023.ghtml#video-11638934-id,"
",20/05/2023 10:27:04 pm,https://www.instagram.com/p/CsfJl0RtQIh/,https://api.iconosquare.com/file-downloader/exports/ZXhwb3J0cy9jb=21tZW50cy8yNzIwMzEzLzE2MDA4NjQvY29tbWVudHNfZXhwb3J0c19ldXNvdWFtb21fMjAyMzA1=MjQxODA2MzJfNjQ2ZTUyMjg2NTRiZS54bHN4
7,23/05/2023 11:28 AM,ei_hortencia,O chão pintado 😂😂😂😂,"
",20/05/2023 10:27:04 pm,https://www.instagram.com/p/CsfJl0RtQIh/,https://api.iconosquare.com/file-downloader/exports/ZXhwb3J0cy9jb=21tZW50cy8yNzIwMzEzLzE2MDA4NjQvY29tbWVudHNfZXhwb3J0c19ldXNvdWFtb21fMjAyMzA1=MjQxODA2MzJfNjQ2ZTUyMjg2NTRiZS54bHN4
8,23/05/2023 12:55 AM,mary_pereira_lira,"Acabei de curtir a sua página, somente para lhe fazer um pedido que no momento acho que é de maior importância, nós Brasileiros, não aguentamos mas ver os ministros do STF mandando e demandando no país, desrespeitando a nossa constituição, precisamos que vocês deputados assinem a CPI do abuso de autoridade, somente assim nos ficaremos livres da tirania do ministro Alexandre de Morais.","
",20/05/2023 10:27:04 pm,https://www.instagram.com/p/CsfJl0RtQIh/,https://api.iconosquare.com/file-downloader/exports/ZXhwb3J0cy9jb=21tZW50cy8yNzIwMzEzLzE2MDA4NjQvY29tbWVudHNfZXhwb3J0c19ldXNvdWFtb21fMjAyMzA1=MjQxODA2MzJfNjQ2ZTUyMjg2NTRiZS54bHN4
9,22/05/2023 11:19 PM,dailsonqueirozcorrea,"Deputado vc tem que conhecer a realidade do interior, só falam em preservação,  é o ser humana não edta nesta preservação,  tudo que falam  é nada mais que mera mentira, dizem que estão desmaiando, a lei ambiental é muito clara, pode desmatar 20 de áreas para subsistência do homem do interior, até agora só foi demasia apenas 2, 4% de áreas no Amazonas, então pode desmatar 17,6 %, tudo que falam é apenas senssacionalus é falta de conhecimento, o senhor apoia um grupo que encabeçado por Fábio Gallido, uns picaretas que dizembquere fazer certificação de crédito de carbono, isso só uma maneira de grilagem terras no sul do Amazonas, isso é uma venho, esta o gritando e sevapossando de 200 mil hectareas de terras, é o senhor apoia uma pouca vergonha desse tema, esta tirando povo do sucunduri, espero que o senhor tome vergonha disso tudo é faça alguma coisa porque a denúncia já foi feito junto ao ministério público Federal e a polícia federal para se tome as providências necessárias assim pediram essa quadrilha. Isso vai mancha sua trajetória, são várias certidões falsas. Espero que vc tome o caminho de expulsar esse seus amigos , não é possível que o senhor continue dando a poioba um bando de picaretas, que estão incomodando as pobres RIBEIRINHOS E tomando o direito de vidas das pessoas do interior, talvez o senhor apoia essas pessoas por nasceu berço de ouro","
",20/05/2023 10:27:04 pm,https://www.instagram.com/p/CsfJl0RtQIh/,https://api.iconosquare.com/file-downloader/exports/ZXhwb3J0cy9jb=21tZW50cy8yNzIwMzEzLzE2MDA4NjQvY29tbWVudHNfZXhwb3J0c19ldXNvdWFtb21fMjAyMzA1=MjQxODA2MzJfNjQ2ZTUyMjg2NTRiZS54bHN4
