"Date";"Followers";"Evolution";"Estimated data"
"01/01/2023";"198,282";"-102";"N/A"
"02/01/2023";"198,177";"-105";"N/A"
"03/01/2023";"198,115";"-62";"N/A"
"04/01/2023";"198,033";"-82";"N/A"
"05/01/2023";"197,968";"-65";"N/A"
"06/01/2023";"197,948";"-20";"N/A"
"07/01/2023";"197,884";"-64";"N/A"
"08/01/2023";"197,734";"-150";"N/A"
"09/01/2023";"197,676";"-58";"N/A"
"10/01/2023";"197,578";"-98";"N/A"
"11/01/2023";"197,538";"-40";"N/A"
"12/01/2023";"197,481";"-57";"N/A"
"13/01/2023";"197,534";"53";"N/A"
"14/01/2023";"197,536";"2";"N/A"
"15/01/2023";"197,504";"-32";"N/A"
"16/01/2023";"197,484";"-20";"N/A"
"17/01/2023";"197,707";"223";"N/A"
"18/01/2023";"198,202";"495";"N/A"
"19/01/2023";"198,369";"167";"N/A"
"20/01/2023";"198,404";"35";"N/A"
"21/01/2023";"198,397";"-7";"N/A"
"22/01/2023";"198,350";"-47";"N/A"
"23/01/2023";"198,308";"-42";"N/A"
"24/01/2023";"198,289";"-19";"N/A"
"25/01/2023";"198,308";"19";"N/A"
"26/01/2023";"198,401";"93";"N/A"
"27/01/2023";"198,388";"-13";"N/A"
"28/01/2023";"198,360";"-28";"N/A"
"29/01/2023";"198,314";"-46";"N/A"
"30/01/2023";"198,273";"-41";"N/A"
"31/01/2023";"198,280";"7";"N/A"
"01/02/2023";"198,571";"291";"N/A"
"02/02/2023";"198,604";"33";"N/A"
"03/02/2023";"198,751";"147";"N/A"
"04/02/2023";"198,735";"-16";"N/A"
"05/02/2023";"198,692";"-43";"N/A"
"06/02/2023";"198,673";"-19";"N/A"
"07/02/2023";"198,730";"57";"N/A"
"08/02/2023";"198,790";"60";"N/A"
"09/02/2023";"198,854";"64";"N/A"
"10/02/2023";"198,877";"23";"N/A"
"11/02/2023";"198,977";"100";"N/A"
"12/02/2023";"199,294";"317";"N/A"
"13/02/2023";"199,513";"219";"N/A"
"14/02/2023";"199,565";"52";"N/A"
"15/02/2023";"199,599";"34";"N/A"
"16/02/2023";"199,629";"30";"N/A"
"17/02/2023";"199,770";"141";"N/A"
"18/02/2023";"199,780";"10";"N/A"
"19/02/2023";"199,911";"131";"N/A"
"20/02/2023";"200,362";"451";"N/A"
"21/02/2023";"201,479";"1,117";"N/A"
"22/02/2023";"201,870";"391";"N/A"
"23/02/2023";"202,237";"367";"N/A"
"24/02/2023";"202,760";"523";"N/A"
"25/02/2023";"202,948";"188";"N/A"
"26/02/2023";"202,816";"-132";"N/A"
"27/02/2023";"203,411";"595";"N/A"
"28/02/2023";"203,215";"-196";"N/A"
"01/03/2023";"203,817";"602";"N/A"
"02/03/2023";"203,995";"178";"N/A"
"03/03/2023";"204,117";"122";"N/A"
"04/03/2023";"204,247";"130";"N/A"
"05/03/2023";"204,301";"54";"N/A"
"06/03/2023";"204,516";"215";"N/A"
"07/03/2023";"204,587";"71";"N/A"
"08/03/2023";"204,662";"75";"N/A"
"09/03/2023";"204,686";"24";"N/A"
"10/03/2023";"204,728";"42";"N/A"
"11/03/2023";"204,768";"40";"N/A"
"12/03/2023";"204,732";"-36";"N/A"
"13/03/2023";"204,827";"95";"N/A"
"14/03/2023";"204,849";"22";"N/A"
"15/03/2023";"204,885";"36";"N/A"
"16/03/2023";"205,025";"140";"N/A"
"17/03/2023";"205,154";"129";"N/A"
"18/03/2023";"205,455";"301";"N/A"
"19/03/2023";"205,563";"108";"N/A"
"20/03/2023";"205,856";"293";"N/A"
"21/03/2023";"205,915";"59";"N/A"
"22/03/2023";"206,284";"369";"N/A"
"23/03/2023";"206,595";"311";"N/A"
"24/03/2023";"206,734";"139";"N/A"
"25/03/2023";"206,797";"63";"N/A"
"26/03/2023";"206,794";"-3";"N/A"
"27/03/2023";"206,805";"11";"206,805"
"28/03/2023";"N/A";"91";"206,896"
"29/03/2023";"N/A";"91";"206,987"
"30/03/2023";"N/A";"91";"207,078"
"31/03/2023";"N/A";"91";"207,169"
"01/04/2023";"N/A";"91";"207,260"
"02/04/2023";"N/A";"91";"207,351"
"03/04/2023";"N/A";"91";"207,442"
"04/04/2023";"N/A";"91";"207,533"
"05/04/2023";"N/A";"91";"207,624"
"06/04/2023";"207,724";"100";"207,724"
"07/04/2023";"207,717";"-7";"N/A"
"08/04/2023";"207,742";"25";"N/A"
"09/04/2023";"207,708";"-34";"N/A"
"10/04/2023";"208,084";"376";"N/A"
"11/04/2023";"208,149";"65";"N/A"
"12/04/2023";"208,199";"50";"N/A"
"13/04/2023";"208,321";"122";"N/A"
"14/04/2023";"208,368";"47";"N/A"
"15/04/2023";"208,519";"151";"N/A"
"16/04/2023";"208,514";"-5";"N/A"
"17/04/2023";"208,568";"54";"N/A"
"18/04/2023";"208,717";"149";"N/A"
"19/04/2023";"208,734";"17";"N/A"
"20/04/2023";"208,681";"-53";"N/A"
"21/04/2023";"208,736";"55";"N/A"
"22/04/2023";"208,737";"1";"N/A"
"23/04/2023";"208,698";"-39";"N/A"
"24/04/2023";"208,591";"-107";"N/A"
"25/04/2023";"208,657";"66";"N/A"
"26/04/2023";"209,023";"366";"N/A"
"27/04/2023";"209,214";"191";"N/A"
"28/04/2023";"209,272";"58";"N/A"
"29/04/2023";"209,445";"173";"N/A"
"30/04/2023";"209,582";"137";"N/A"
"01/05/2023";"209,607";"25";"N/A"
"02/05/2023";"209,703";"96";"N/A"
"03/05/2023";"209,640";"-63";"N/A"
"04/05/2023";"209,637";"-3";"N/A"
"05/05/2023";"209,619";"-18";"N/A"
"06/05/2023";"209,613";"-6";"N/A"
"07/05/2023";"209,567";"-46";"N/A"
"08/05/2023";"209,552";"-15";"N/A"
"09/05/2023";"209,562";"10";"N/A"
"10/05/2023";"209,548";"-14";"N/A"
"11/05/2023";"209,535";"-13";"N/A"
"12/05/2023";"209,548";"13";"N/A"
"13/05/2023";"209,570";"22";"N/A"
"14/05/2023";"209,541";"-29";"N/A"
"15/05/2023";"209,514";"-27";"N/A"
"16/05/2023";"209,525";"11";"N/A"
"17/05/2023";"209,513";"-12";"N/A"
"18/05/2023";"209,497";"-16";"N/A"
"19/05/2023";"209,720";"223";"N/A"
"20/05/2023";"210,178";"458";"N/A"
"21/05/2023";"210,926";"748";"N/A"
"22/05/2023";"211,189";"263";"N/A"
"23/05/2023";"211,466";"277";"N/A"
"24/05/2023";"212,053";"587";"N/A"
"25/05/2023";"212,252";"199";"N/A"
"26/05/2023";"212,487";"235";"N/A"
"27/05/2023";"212,739";"252";"N/A"
"28/05/2023";"212,831";"92";"N/A"
"29/05/2023";"212,969";"138";"N/A"
"30/05/2023";"213,110";"141";"N/A"
"31/05/2023";"213,205";"95";"N/A"
"01/06/2023";"213,238";"33";"N/A"
"02/06/2023";"213,281";"43";"N/A"
"03/06/2023";"213,335";"54";"N/A"
"04/06/2023";"213,314";"-21";"N/A"
"05/06/2023";"213,338";"24";"N/A"
"06/06/2023";"213,356";"18";"N/A"
"07/06/2023";"213,371";"15";"N/A"
"08/06/2023";"213,421";"50";"N/A"
"09/06/2023";"213,416";"-5";"N/A"
"10/06/2023";"213,423";"7";"N/A"
"11/06/2023";"213,404";"-19";"N/A"
"12/06/2023";"213,397";"-7";"N/A"
"13/06/2023";"214,157";"760";"N/A"
"14/06/2023";"214,410";"253";"N/A"
"15/06/2023";"214,534";"124";"N/A"
"16/06/2023";"214,616";"82";"N/A"
"17/06/2023";"214,629";"13";"N/A"
"18/06/2023";"214,575";"-54";"N/A"
"19/06/2023";"214,569";"-6";"N/A"
"20/06/2023";"214,573";"4";"N/A"
"21/06/2023";"214,626";"53";"N/A"
"22/06/2023";"214,673";"47";"N/A"
"23/06/2023";"214,691";"18";"N/A"
"24/06/2023";"214,698";"7";"N/A"
"25/06/2023";"214,665";"-33";"N/A"
"26/06/2023";"214,632";"-33";"N/A"
"27/06/2023";"214,586";"-46";"N/A"
"28/06/2023";"214,563";"-23";"N/A"
"29/06/2023";"214,586";"23";"N/A"
"30/06/2023";"214,580";"-6";"N/A"
"01/07/2023";"214,583";"3";"N/A"
"02/07/2023";"214,536";"-47";"N/A"
"03/07/2023";"214,479";"-57";"N/A"
"04/07/2023";"214,424";"-55";"N/A"
"05/07/2023";"214,434";"10";"N/A"
"06/07/2023";"216,020";"1,586";"N/A"
"07/07/2023";"218,276";"2,256";"N/A"
"08/07/2023";"219,597";"1,321";"N/A"
"09/07/2023";"221,266";"1,669";"N/A"
"10/07/2023";"222,227";"961";"N/A"
"11/07/2023";"223,322";"1,095";"N/A"
"12/07/2023";"224,571";"1,249";"224,571"
"13/07/2023";"N/A";"417";"224,988"
"14/07/2023";"N/A";"417";"225,405"
"15/07/2023";"N/A";"417";"225,822"
"16/07/2023";"N/A";"417";"226,239"
"17/07/2023";"N/A";"417";"226,656"
"18/07/2023";"N/A";"417";"227,073"
"19/07/2023";"227,493";"420";"227,493"
"20/07/2023";"227,874";"381";"N/A"
"21/07/2023";"228,208";"334";"N/A"
"22/07/2023";"228,524";"316";"N/A"
"23/07/2023";"228,836";"312";"N/A"
"24/07/2023";"229,055";"219";"N/A"
"25/07/2023";"229,390";"335";"N/A"
"26/07/2023";"229,511";"121";"N/A"
"27/07/2023";"229,495";"-16";"N/A"
"28/07/2023";"229,485";"-10";"N/A"
"29/07/2023";"229,467";"-18";"N/A"
"30/07/2023";"229,436";"-31";"N/A"
"31/07/2023";"229,346";"-90";"N/A"
"01/08/2023";"229,317";"-29";"N/A"
"02/08/2023";"229,343";"26";"N/A"
"03/08/2023";"229,359";"16";"N/A"
"04/08/2023";"229,403";"44";"N/A"
"05/08/2023";"229,501";"98";"N/A"
"06/08/2023";"229,483";"-18";"N/A"
"07/08/2023";"229,413";"-70";"N/A"
"08/08/2023";"229,376";"-37";"N/A"
"09/08/2023";"229,419";"43";"N/A"
"10/08/2023";"229,404";"-15";"N/A"
"11/08/2023";"229,439";"35";"N/A"
"12/08/2023";"229,433";"-6";"N/A"
"13/08/2023";"229,366";"-67";"N/A"
"14/08/2023";"229,342";"-24";"N/A"
"15/08/2023";"229,349";"7";"N/A"
"16/08/2023";"229,296";"-53";"N/A"
"17/08/2023";"229,591";"295";"N/A"
"18/08/2023";"229,646";"55";"N/A"
"19/08/2023";"229,682";"36";"N/A"
"20/08/2023";"229,703";"21";"N/A"
"21/08/2023";"229,738";"35";"N/A"
"22/08/2023";"229,798";"60";"N/A"
"23/08/2023";"229,919";"121";"N/A"
"24/08/2023";"230,030";"111";"N/A"
"25/08/2023";"230,110";"80";"N/A"
"26/08/2023";"230,198";"88";"N/A"
"27/08/2023";"230,254";"56";"N/A"
"28/08/2023";"230,277";"23";"N/A"
"29/08/2023";"230,287";"10";"N/A"
"30/08/2023";"230,433";"146";"N/A"
"31/08/2023";"230,523";"90";"N/A"
"01/09/2023";"230,290";"-233";"N/A"
"02/09/2023";"230,332";"42";"N/A"
"03/09/2023";"230,602";"270";"N/A"
"04/09/2023";"230,607";"5";"N/A"
"05/09/2023";"230,650";"43";"N/A"
"06/09/2023";"230,674";"24";"230,674"
"07/09/2023";"N/A";"129";"230,803"
"08/09/2023";"N/A";"156";"230,959"
"09/09/2023";"N/A";"134";"231,093"
"10/09/2023";"N/A";"138";"231,231"
"11/09/2023";"230,583";"-648";"230,583"
"12/09/2023";"230,574";"-9";"N/A"
"13/09/2023";"230,559";"-15";"N/A"
"14/09/2023";"230,526";"-33";"N/A"
"15/09/2023";"230,699";"173";"N/A"
"16/09/2023";"230,719";"20";"N/A"
"17/09/2023";"230,701";"-18";"N/A"
"18/09/2023";"230,676";"-25";"N/A"
"19/09/2023";"230,696";"20";"N/A"
"20/09/2023";"230,746";"50";"N/A"
"21/09/2023";"230,773";"27";"N/A"
"22/09/2023";"230,825";"52";"N/A"
"23/09/2023";"230,838";"13";"N/A"
"24/09/2023";"230,786";"-52";"N/A"
"25/09/2023";"230,769";"-17";"N/A"
"26/09/2023";"230,839";"70";"N/A"
"27/09/2023";"230,970";"131";"N/A"
"28/09/2023";"231,203";"233";"N/A"
"29/09/2023";"231,685";"482";"N/A"
"30/09/2023";"231,873";"188";"N/A"
"01/10/2023";"232,437";"564";"N/A"
"02/10/2023";"232,774";"337";"N/A"
"03/10/2023";"232,921";"147";"N/A"
"04/10/2023";"233,038";"117";"N/A"
"05/10/2023";"233,190";"152";"N/A"
"06/10/2023";"233,345";"155";"N/A"
